"","UMAP_1","UMAP_2"
"cell109_1",3.97001066981905,0.0272194585759343
"cell110_1",-0.218716338911931,5.43464846196516
"cell111_1",3.46849878488467,-0.165656447611785
"cell112_1",3.87254316034786,-3.15618252323043
"cell113_1",1.80856333344202,4.44081234462131
"cell114_1",2.78671458912607,2.72504069005132
"cell115_1",-13.0629798666894,-1.54702670892997
"cell116_1",4.36237116145944,-0.795062759497899
"cell117_1",2.89671097582842,0.389147609678726
"cell118_1",-0.380328989775928,1.21742080054085
"cell119_1",-0.42056683776829,3.65738733189667
"cell120_1",1.76875010270466,1.47320223264609
"cell121_1",2.30614470001601,-0.60037238959935
"cell122_1",-0.477338111370296,3.3977844954628
"cell123_1",4.28080451970298,-1.27555119285726
"cell124_1",4.78053151625975,-1.19676741171542
"cell125_1",2.93214867603928,-4.52561288815889
"cell126_1",0.521967002294107,-2.41787381736005
"cell127_1",3.41920208122402,-1.94270492254886
"cell128_1",3.59633642281345,0.843861446316098
"cell129_1",3.75709981522007,-0.909621146456575
"cell130_1",-13.7424214719864,-2.76209984577328
"cell131_1",-1.1429486070264,-0.99588964458001
"cell132_1",2.66934523344453,-2.42760411767656
"cell133_1",0.84666864167534,2.25602572653877
"cell134_1",4.01278513086268,-1.28441753774134
"cell135_1",1.02206699784116,-1.54062035004943
"cell136_1",3.61678608899362,1.0894557261599
"cell137_1",4.07239580393158,-0.325088600513538
"cell138_1",3.29936907048881,-1.12117943453651
"cell139_1",3.14968271493859,2.41841874399235
"cell140_1",-12.9292093163541,-2.54401962435765
"cell141_1",3.23986039492717,0.221795263244067
"cell142_1",4.50020831298035,-1.50446963350593
"cell143_1",-0.772417094103773,4.72923821477256
"cell144_1",4.58666072108231,0.394176816035843
"cell145_1",2.91220669935916,-4.0868430888253
"cell146_1",1.85088552623846,3.59129530513639
"cell147_1",2.50500196612971,3.31058761992876
"cell148_1",4.17225790935623,0.958307494038291
"cell149_1",3.90992221607618,-1.53662501418183
"cell150_1",3.78090870838819,2.75105247552734
"cell151_1",2.67749375584964,0.35018459796848
"cell152_1",-0.823068540179981,3.59751000582779
"cell153_1",-0.690952996310801,4.124287085964
"cell154_1",2.31817965408877,0.843931460756021
"cell155_1",-0.0635147276962083,4.00860078268542
"cell156_1",0.701977673064502,-1.40683018826124
"cell157_1",1.95994621255556,2.81203188330147
"cell158_1",4.05871094802849,2.16133179187665
"cell159_1",3.53900270822296,0.591885765338972
"cell160_1",-0.700870487354325,2.55278512827617
"cell161_1",-0.272781288102016,4.84158773286902
"cell162_1",-0.402737247238484,-0.0207912613291534
"cell163_1",1.37207446826202,3.53206509885885
"cell164_1",2.04659226870666,-0.507771754649157
"cell165_1",-0.080807329424736,3.61826101091744
"cell166_1",0.128588277635565,1.64045942503404
"cell167_1",3.42457897781958,-1.13780827346528
"cell168_1",3.50299448805909,-1.73488324811113
"cell169_1",0.249017002495313,3.82245841932206
"cell170_1",-13.5554062066804,-3.10799255995951
"cell171_1",-0.445782839494846,3.83622721788819
"cell172_1",1.52832130172068,-2.6077608335378
"cell173_1",2.77858588750275,-4.34501838157048
"cell174_1",2.37086247423658,-4.49128783561353
"cell175_1",0.24189469563821,2.82971843383739
"cell176_1",-2.59765949349824,1.44853827098252
"cell177_1",3.73510505134218,2.85243323003823
"cell178_1",-13.4314304137924,-3.31177442884465
"cell179_1",1.61913194892814,2.09598024916293
"cell180_1",-13.7056868101929,-3.27578359875484
"cell181_1",-0.877304168844097,0.532636422864285
"cell182_1",-1.48539690776295,1.46947986519125
"cell183_1",3.19074909753103,-1.21615190911919
"cell184_1",2.03966264977244,4.16946862529769
"cell185_1",3.42878639940858,2.81799290096132
"cell186_1",3.27360701741718,1.45842997955525
"cell187_1",-2.28603868367341,-4.19048772844869
"cell188_1",-12.1135233458977,-1.35145629266864
"cell189_1",4.19626263362681,-2.01119319466982
"cell190_1",1.73143134436181,-0.619534514367448
"cell191_1",2.06693109192553,3.25067285583791
"cell192_1",1.6985691299063,4.76315338129761
"cell193_1",2.47522674152701,-3.56103670498268
"cell194_1",4.52070434157272,-1.37320511343298
"cell195_1",-0.901710272306775,-1.0456818549348
"cell196_1",4.45330833579424,-2.57731847292634
"cell197_1",3.56186199856471,-0.214869541165927
"cell198_1",-0.350223670286074,2.35327600819838
"cell199_1",3.55913622041502,-0.283443072332381
"cell200_1",0.170328545161372,4.13841958221702
"cell201_1",4.36218421045393,0.512459218288093
"cell202_1",2.98654420149142,0.0191155505363775
"cell203_1",-0.234153361658151,4.27693655582847
"cell204_1",-0.153126281969787,1.69134107036894
"cell205_1",0.351394860190651,2.5519501512176
"cell206_1",1.63815368475218,2.51849607524833
"cell207_1",-13.8490934299914,-3.17971382158251
"cell208_1",1.8146962870629,3.58485173726306
"cell209_1",2.98606131742544,0.512090178624725
"cell210_1",2.00640150113974,-0.576140307685428
