"","tSNE_1","tSNE_2"
"cell174_1",16.3807590980508,31.1143891177852
"cell175_1",-5.43862813406957,-42.2229509666982
"cell176_1",19.0507022157687,-32.4087734770216
"cell177_1",-16.240055073413,-8.63465765990412
"cell178_1",-40.1137203015282,-7.48207229753437
"cell179_1",1.41695287839751,-15.7383026060728
"cell180_1",-39.1983036221936,-8.77859693451429
"cell181_1",16.5933834563166,-13.1200292099282
"cell182_1",16.0845865280095,-23.047698137633
"cell183_1",-5.00390422546656,8.07861823837018
"cell184_1",-10.7718419525739,-10.3604107120994
"cell185_1",-18.6539025055346,-7.73127267287608
"cell186_1",-17.4372771457084,11.3924514926727
"cell187_1",38.5922371387635,25.942515679731
"cell188_1",-39.8997715116818,5.77205860166586
"cell189_1",-8.91885235838015,28.1847356219363
"cell190_1",8.30848760850502,4.46416388172935
"cell191_1",-17.1737067486347,-15.6482762562352
"cell192_1",-16.8854264105003,-20.7051654425773
"cell193_1",7.87868442326736,23.1738337873265
"cell194_1",-10.2914273632282,24.1334031414058
"cell195_1",31.5871220668161,-2.93258684246559
"cell196_1",-9.31706047808719,21.5778526849687
"cell197_1",-9.37271786244469,9.79061670593425
"cell198_1",-3.7828181866883,-19.6684403199545
"cell199_1",-23.9386714539316,13.9090585732555
"cell200_1",-12.5063593915285,-32.8964875651921
"cell201_1",-10.4617213431218,13.8158272757177
"cell202_1",-23.8156215722295,12.9626430104752
"cell203_1",-6.99680600813491,-26.2890319292169
"cell204_1",9.50939288442063,-13.801553506887
"cell205_1",2.18132631001375,-7.50234131365917
"cell206_1",-0.28612844430443,-2.45222256575227
"cell207_1",-38.9014736776785,-8.66355749884504
"cell208_1",-4.41920816055569,-27.2600909063214
"cell209_1",-16.3198604585156,13.8191866608826
"cell210_1",0.867848687784938,14.396724428403
"cell211_1",-38.8577439859465,-5.0751130891537
"cell212_1",29.8798446420189,15.4195224383152
"cell213_1",-3.61912348494513,1.13637413031446
"cell214_1",-43.3386950078561,-2.92117699424946
"cell215_1",-41.4835262360554,-2.87042032436389
"cell216_1",-15.0600671833278,2.8826185732758
"cell217_1",-7.70816514946934,-19.7040698286697
"cell218_1",-9.03659581278632,29.0661613688096
